Tweet_ID,Created_At,Location_Mentioned,tweet_length,Text,Text_Final
c3c923bab9a5006041fee2df8da9a2173b2de335f62342eebe05f0208c97e6c1,2024-07-22,Quito,167,Se fue la luz y se dañó el panel electrónico del elevador y el AC. Luma nos está destruyendo y cobrando por hacerlo. Somos muchos los afectados. El desquite va. 👊🏻👊🏻👊🏻,se fue la luz se dañó panel electrónico del elevador ac luma nos está destruyendo cobrando por hacerlo somos muchos los afectados desquite va
23cf0973031f6388a6bacb5306160f57e5f23cbdbb597cdb6726ca6e459aa3e5,2024-12-01,Azuay,257,"No quiero arrecharme, pero estos HDP de Corpoelec quitan la luz hoy q hay agua y se puede lavar!!! 😤

Cdo hay electricidad, no hay agua 
Cdo hay agua, no hay electricidad.
Pónganse d acuerdo nojodas!!!

Tenía q desahogarme. Disculpen y sigan en lo suyo... 😉",no quiero arrecharme pero estos hdp corpoelec quitan la luz hoy hay agua se puede lavar cdo hay electricidad no hay agua cdo hay agua no hay electricidad pónganse acuerdo nojodas tenía desahogarme disculpen sigan lo suyo
33da3cb8621b2ce82a4eb6441dfabf4a059ddde7348fadebdb78a4b11370728a,2024-10-15,Guayaquil,299,"🌌 A dos días del apagón masivo que dejó a medio archipiélago a oscuras, ciudadanos reclamaron esta tarde la salida de LUMA Energy y de Genera PR, los dos operadores privados del sistema eléctrico.

📢 Entonando consignas como ""Con LUMA y su patraña, los enseres se me dañan"" y https://t.co/thfFwV8nP1",dos días del apagón masivo que dejó medio archipiélago oscuras ciudadanos reclamaron esta tarde la salida luma energy genera pr los dos operadores privados del sistema eléctrico entonando consignas como con luma patraña los enseres se me dañan
8ab477a732bec3995a5342dff816b1e903fa41de8e5a491b1278430194904c74,2024-05-14,Guayaquil,177,"A esta hora hay más de 240,000 personas afectadas por otro apagón debido a la incapacidad de LUMA y Genera. No saben, ni pueden administrar el sistema eléctrico. 

Hasta cuando…",esta hora hay más personas afectadas por otro apagón debido la incapacidad luma genera no saben pueden administrar sistema eléctrico hasta cuando
5706da14ade897778baf2a682d451db10fb47965b75d01dc4da1104536c641ec,2024-10-05,Quito,165,"La ideología arruina.

‘Red Eléctrica ordena por segundo día consecutivo la paralización de la gran industria ante la falta de electricidad’. https://t.co/pZ4SY05j4k",la ideología arruina red eléctrica ordena por segundo día consecutivo la paralización la gran industria ante la falta electricidad
f01fa14262c37dd3f6b314867d92a0759220176a4cd9439076076f9befabf756,2024-11-05,Quito,166,"Buenos días, bendito domingo.  A está hora 06:00 AM van 23 horas continuas con electricidad en mi zona. Gracias a Dios, todo indica que el problema ha sido resuelto 🙏",buenos días bendito domingo está hora van horas continuas con electricidad zona gracias dios todo indica que problema sido resuelto
cc647b852b5c56995f390ea7bc14c4d86aac06e9f53a8b9cd628e63ec5b6a1aa,2024-10-13,Quito,296,"Así de compleja es la situación. 
Se habría perdido ya el control del sistema de distribución nacional de electricidad. 

Se habla de reducir el riesgo del “colapso” y continuidad del servicio eléctrico.  Piden desde Cenace racionamientos inmediatos de 12 a 14 horas. 

Se https://t.co/pQA9ji6LHW",así compleja la situación se habría perdido control del sistema distribución nacional electricidad se habla reducir riesgo del colapso continuidad del servicio eléctrico piden desde cenace racionamientos inmediatos horas se
21c55d705f4021a80611c7aad4d3780ad25e408e30d20de09b5183463ebb0503,2024-09-16,Guayaquil,188,"El problemón eléctrico que desde ayer estamos sufriendo todo Monteclaro y zonas adyacentes es terrible. Explotaron unos transformadores y aquí estamos, 8.25 pm, 16/7, a oscuras totalmente.",problemón eléctrico que desde ayer estamos sufriendo todo monteclaro zonas adyacentes terrible explotaron unos transformadores aquí estamos pm oscuras totalmente
6b803d60af63600a0ecb1ffe8ce43ab1152908b0b883de865e80a9bff48e8c34,2024-05-16,Quito,279,"Vivimos en un país donde unos burócratas incompetentes y corruptos, que están desde el correismo manejando el sector eléctrico, CORTAN LA LUZ, sin previo aviso; nunca dieron mantenimiento a los equipos termo eléctricos. Deben ser removidos por sus negligencias culposas y dolosas",vivimos un país donde unos burócratas incompetentes corruptos que están desde correismo manejando sector eléctrico cortan la luz sin previo aviso nunca dieron mantenimiento los equipos termo eléctricos deben ser removidos por sus negligencias culposas dolosas
dc7ac6900c1bb913ecdb241757073118ca3aea8c3ef4f7e97d6ab776719211e1,2024-06-10,Quito,141,"VERGÜENZA, les informo que las gradas eléctricas NO FUNCIONAN. Tienen varios días de no funcionar, nada que celebrar. https://t.co/HnKjJzROLm",vergüenza les informo que las gradas eléctricas no funcionan tienen varios días no funcionar nada que celebrar
46a5b191e3ffe674f58f498e8d28db2152983a3592e12e3a66cd213fead261c8,2024-11-25,Guayaquil,285,"Los que le dieron el voto al muñeco 
incompetente tienen todo el derecho de sacarlo a patadas.

Ahora son 14 horas sin luz, esto lleva al país a la recesión. No habrá crecimiento económico, ni empleo ni tampoco inversión.

#ParoNacional #Apagones
#NoboaNuncaMás https://t.co/S87TMpkGbP",los que le dieron voto al muñeco incompetente tienen todo derecho sacarlo patadas ahora son horas sin luz esto lleva al país la recesión no habrá crecimiento económico empleo tampoco inversión
0e2a6ad99973b992d68cc55cb466cb066e59f0c9869635c45bb22dd4e4261c1a,2024-12-19,Quito,228,"¡Tremendas las imágenes que nos llegan de Letur! 😢
Pero este no es un problema nuevo, sino un problema recurrente (aunque esta vez especialmente grave).
Así que toca abrir hilo 🧵 y explicar lo ocurrido 👇🏼
https://t.co/0rX2zWfNCE",tremendas las imágenes que nos llegan letur pero este no un problema nuevo sino un problema recurrente aunque esta vez especialmente grave así que toca abrir hilo explicar lo ocurrido
221990d7b30cfdba31ab7efeab9ea5c19700bc1099375530d7c50c9a3fb58d25,2024-10-28,Tungurahua,260,"Es increible y a la vez una falta de respeto porparte de las compañias electricas que cada vez que llueve se corta la luz, un poco de viento y explotan los transformadores, pero para cobrar caro y tener los postes llenos de cables colgando son buenos.

#SinLuz",increible la vez una falta respeto porparte las compañias electricas que cada vez que llueve se corta la luz un poco viento explotan los transformadores pero para cobrar caro tener los postes llenos cables colgando son buenos
cc84e1fa0720f92d62b1d714f1c477020867f9a7947e3e7198a9a1df4f8cb09d,2024-08-22,Guayaquil,302,"Moradores de #LaAurora conviven con malestar por los prolongados cortes #luz en el marco de la crisis energética que vive el país. https://t.co/16W9a0oUn3

El jueves anterior se aplicaron cortes de siete horas, de 11:00 a 16:00 y de 22:00 a 24:00 y este viernes con tres franjas https://t.co/7qIbTSZGc2",moradores conviven con malestar por los prolongados cortes marco la crisis energética que vive país jueves anterior se aplicaron cortes siete horas este viernes con tres franjas
